"meta.src_ip.keyword: Descending","meta.dst_ip.keyword: Descending","start: Descending","end: Descending","file_size_MB: Descending","percent_retrans: Descending","values.tcp_rtt_min: Descending","values.tcp_rtt_max: Descending","values.tcp_rtt_std: Descending","Max throughput_Mbps"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 07:25:34.000","July 17th 2017, 07:25:48.000","728.29",0,"0.001","39.621","0.53","412.9"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 07:25:34.000","July 17th 2017, 07:25:48.000","724.62","0.001","0.001","39.897","0.495","410.8"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 07:25:34.000","July 17th 2017, 07:25:48.000","711.51",0,"0.001","39.864","0.545","403.4"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:41:42.000","July 15th 2017, 17:45:37.000","7,290.15","0.001","0.001","39.544","0.272","248.6"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:41:42.000","July 15th 2017, 17:45:37.000","7,288.58",0,"0.001","39.784","0.295","248.5"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:41:42.000","July 15th 2017, 17:45:37.000","7,282.66","0.001","0.001","39.728","0.277","248.3"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","November 8th 2017, 14:52:32.000","November 8th 2017, 14:52:36.000","114.7",0,"0.001","39.514","1.35","232.3"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","November 8th 2017, 14:52:32.000","November 8th 2017, 14:52:36.000","114.19",0,"0.001","39.416","1.314","231.3"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","November 8th 2017, 14:52:32.000","November 8th 2017, 14:52:36.000","111.34","0.008","0.001","39.515","1.256","225.5"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","November 8th 2017, 14:52:32.000","November 8th 2017, 14:52:36.000","110.32",0,"0.001","39.639","1.293","222.3"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:40:22.000","July 15th 2017, 17:42:09.000","2,778.76","0.001","0.001","39.909","0.194","206.7"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:40:22.000","July 15th 2017, 17:42:09.000","2,776.45","0.001","0.001","39.746","0.197","206.6"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:40:22.000","July 15th 2017, 17:42:09.000","2,777.21","0.001","0.001","39.011","0.189","206.6"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 15th 2017, 17:40:22.000","July 15th 2017, 17:42:09.000","2,773.84","0.001","0.001","39.847","0.202","206.4"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 12:04:29.000","July 17th 2017, 12:21:53.000","26,073.789","0.001","0.001","40.485","0.429","199.8"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 12:04:29.000","July 17th 2017, 12:21:53.000","26,070.221","0.001","0.001","40.436","0.417","199.7"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 12:04:29.000","July 17th 2017, 12:21:53.000","26,016.301","0.001","0.001","39.856","0.328","199.3"
"edison01-eth5.nersc.gov","dtn07.nersc.gov","July 17th 2017, 12:04:29.000","July 17th 2017, 12:21:53.000","26,018.061","0.001","0.001","40.105","0.328","199.3"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","7,373.62","0.008","0.001","39.245","0.618","528.1"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","7,293.93","0.005","0.001","38.286","0.625","522.2"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","6,467.65","0.008","0.001","38.719","0.666","462.2"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","6,467.65","0.006","0.001","38.159","0.636",462
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","6,371.18","0.007","0.001","38.736","0.703","455.3"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:07:51.000","December 7th 2017, 16:09:43.000","5,955.94","0.005","0.001","39.831","0.58","425.5"
"dtn10.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:48:19.000","November 28th 2017, 07:52:43.000","12,574.58","0.002","0.001","44.056","4.14","381.8"
"dtn10.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:48:19.000","November 28th 2017, 07:52:43.000","11,372.64","0.002","0.001","40.86","3.861","345.3"
"dtn10.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:48:19.000","November 28th 2017, 07:52:43.000","11,018.49","0.003","0.001","40.89","3.893","334.5"
"dtn10.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:48:19.000","November 28th 2017, 07:52:43.000","10,926.21","0.003","0.001","40.071","4.255","331.7"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:40:40.000","December 7th 2017, 15:44:49.000","8,443.18","0.005","0.001","40.411","1.043","271.8"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:40:40.000","December 7th 2017, 15:44:49.000","8,371.88","0.006","0.001","40.212","0.938","269.5"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:40:40.000","December 7th 2017, 15:44:49.000","8,342.52","0.006","0.001","40.158","1.079","268.6"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:40:40.000","December 7th 2017, 15:44:49.000","8,279.59","0.005","0.001","40.249","1.012","266.5"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:40:40.000","December 7th 2017, 15:44:49.000","8,048.91","0.006","0.001","39.936","1.013","259.1"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:29:15.000","December 7th 2017, 14:41:02.000","20,535.4","0.005","0.001","40.44","0.788","232.3"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:29:15.000","December 7th 2017, 14:41:02.000","20,522.82","0.006","0.001","40.578","0.759","232.2"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:29:15.000","December 7th 2017, 14:41:02.000","20,309.41","0.006","0.001","40.336","0.872","229.8"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:29:15.000","December 7th 2017, 14:41:02.000","19,964.971","0.006","0.001","68.005","0.839","225.9"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:29:15.000","December 7th 2017, 14:41:02.000","19,906.25","0.006","0.003","40.502","0.89","225.3"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","1,088.72","0.006","0.001","39.999","0.988","61.5"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","1,076.24","0.007","0.001","39.776","1.381","60.8"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","1,061.4","0.005","0.001","39.906","1.347","59.9"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","662.71","0.005","0.001","39.444","0.596","37.4"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","662.71","0.007","0.001","39.963","0.634","37.4"
"dtn10.nersc.gov","dtn07.nersc.gov","December 7th 2017, 21:53:43.000","December 7th 2017, 21:56:05.000","645.93","0.007","0.001","39.702","0.704","36.5"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:54:08.000","November 28th 2017, 07:56:32.000","20,107.58","0.002","0.001","40.727","4.525","1,119.5"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:54:08.000","November 28th 2017, 07:56:32.000","18,710.869","0.003","0.001","39.9","4.183","1,041.8"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:54:08.000","November 28th 2017, 07:56:32.000","18,480.18","0.003","0.001","39.942","3.638","1,029.1"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 07:54:08.000","November 28th 2017, 07:56:32.000","9,585.61","0.008","0.001","40.509","4.487","533.9"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:20:44.000","10,020.25","0.002","0.001","39.911","1.644","621.8"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:20:44.000","8,588.71","0.003","0.001","38.346","1.793","533.2"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:20:44.000","2,227.19","0.028","0.001","39.888","2.898","138.3"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:20:44.000","2,063.61","0.033","0.001","40.431","2.875","128.1"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:21:23.000","8,525.07","0.004","0.001","39.904","1.615","406.1"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:21:23.000","6,996.13","0.005","0.001","39.87","1.774","333.2"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:21:23.000","6,941.61","0.005","0.001","39.899","1.873","330.6"
"dtn09.nersc.gov","dtn07.nersc.gov","November 28th 2017, 09:18:35.000","November 28th 2017, 09:21:23.000","6,408.94","0.006","0.001","39.45","1.86","305.2"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:53:14.000","December 7th 2017, 16:53:50.000","2,696.95","0.003","0.001","39.206","0.522","598.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:53:14.000","December 7th 2017, 16:53:50.000","2,638.24","0.005","0.001","39.462","0.657","586.3"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:53:14.000","December 7th 2017, 16:53:50.000","2,629.85","0.004","0.001","39.052","0.626","584.4"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:53:14.000","December 7th 2017, 16:53:50.000","2,621.45","0.004","0.001","40.183","0.665","582.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 16:53:14.000","December 7th 2017, 16:53:50.000","2,604.68","0.004","0.001","23.706","0.41","576.6"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:04.000","14,453.63","0.004","0.001","39.419","0.776","374.4"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:04.000","13,413.44","0.005","0.001","39.922","0.857","347.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:04.000","11,819.6","0.006","0.001","39.884","0.952","306.2"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:04.000","11,635.05","0.005","0.001","39.152","0.746","301.1"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:04.000","11,622.47","0.005","0.001","39.924","0.816","300.7"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:05.000","11,513.41","0.005","0.002","39.943","0.698","296.8"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:05.000","11,362.42","0.004","0.001","39.194","0.687","292.9"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:05.000","11,345.64","0.005","0.001","40.137","0.767","292.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 15:00:55.000","December 7th 2017, 15:06:05.000","5,758.81","0.015","0.001","40.844","1.235","148.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:43:14.000","December 7th 2017, 14:48:35.000","13,547.66","0.004","0.001","39.88","0.73","337.3"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:43:14.000","December 7th 2017, 14:48:35.000","13,430.22","0.005","0.001","39.904","0.741","334.4"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:43:14.000","December 7th 2017, 14:48:35.000","11,588.91","0.009","0.001","39.827","0.844","288.5"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:43:14.000","December 7th 2017, 14:48:35.000","11,140.12","0.006","0.001","41.626","0.908","277.4"
"dtn09.nersc.gov","dtn07.nersc.gov","December 7th 2017, 14:43:14.000","December 7th 2017, 14:48:35.000","11,018.49","0.006","0.001","40.256","0.952","274.4"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:07:33.000","December 21st 2017, 15:07:44.000","744.01",0,"0.001","39.84","0.461","559.9"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:07:33.000","December 21st 2017, 15:07:44.000","702.46","0.001","0.001","39.851","0.462","527.2"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:07:33.000","December 21st 2017, 15:07:44.000","698.4","0.005","0.001","39.998","0.46","525.6"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:07:33.000","December 21st 2017, 15:07:44.000","679.29",0,"0.001","39.84","0.472","511.2"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:07:33.000","December 21st 2017, 15:07:37.000","109.06",0,"0.001","39.077","0.714",277
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:49.000","1,638.34","0.003","0.001","39.429","0.369",420
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:49.000","1,632.43","0.003","0.001","39.513","0.491","418.4"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:49.000","1,571.48","0.003","0.001","39.177","0.405","402.8"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:49.000","1,542.28","0.003","0.001","39.42","0.462","394.8"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:43.000","1,031.68","0.006","0.001","39.856","0.555","323.2"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:43.000","1,004.79","0.003","0.002","39.244","0.407","314.7"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:43.000","940.94","0.005","0.002","28.408","0.394","294.6"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:18.000","December 21st 2017, 15:08:43.000","927.42","0.005","0.001","39.455","0.423",290
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:41.000","873.89","0.005","0.001","39.755","0.486","301.5"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:41.000","810.93","0.004","0.001","39.598","0.413","279.8"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:41.000","760.21","0.005","0.001","39.595","0.387","262.3"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:41.000","732.06","0.004","0.001","39.744","0.434","252.2"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:37.000","644.29","0.004","0.001","37.254","0.599","267.9"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:37.000","603.05","0.004","0.001","36.142","0.452","250.7"
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:37.000","538.66","0.008","0.001","26.335","0.346",224
"dtn08.nersc.gov","dtn07.nersc.gov","December 21st 2017, 15:08:17.000","December 21st 2017, 15:08:37.000","534.94","0.007","0.001","37.106","0.496","221.9"
"dtn07.nersc.gov","whistle-stop-out.uiowa.edu","July 7th 2017, 10:19:08.000","July 7th 2017, 12:24:32.000","33,157.879","0.037","53.217","531.821","44.015","35.3"
"dtn07.nersc.gov","whistle-stop-out.uiowa.edu","July 7th 2017, 10:22:41.000","July 7th 2017, 11:32:20.000","13,950.45","0.047","53.436","472.635","41.421","26.7"
"dtn07.nersc.gov","whale.qb3.berkeley.edu","July 10th 2017, 09:33:22.000","July 10th 2017, 09:33:25.000","186.63","0.481","4.052","13.379","2.719","511.3"
"dtn07.nersc.gov","whale.qb3.berkeley.edu","July 19th 2017, 18:03:42.000","July 19th 2017, 18:03:45.000","186.63","0.005","3.868","28.732","3.103","481.6"
"dtn07.nersc.gov","whale.qb3.berkeley.edu","July 13th 2017, 12:27:19.000","July 13th 2017, 12:27:22.000","131.07","1.348","3.88","13.326","2.665","338.3"
"dtn07.nersc.gov","whale.qb3.berkeley.edu","July 19th 2017, 18:03:25.000","July 19th 2017, 18:03:29.000","186.63","0.014","5.191","13.462","1.998","323.2"
"dtn07.nersc.gov","whale.qb3.berkeley.edu","July 10th 2017, 09:34:43.000","July 10th 2017, 09:34:48.000","186.63","0.009","4.116","13.198","2.044","311.7"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:38:51.000","July 24th 2017, 14:39:35.000","214.88","0.093","80.137","161.283","17.947",39
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:38:51.000","July 24th 2017, 14:39:35.000","208.33","0.217","80.043","161.052","18.11","37.9"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:38:51.000","July 24th 2017, 14:39:35.000","183.8","0.039","80.248","162.061","19.111","33.4"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:00:49.000","July 24th 2017, 14:01:37.000","230.17","0.158","80.09","172.996","18.764","38.8"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:00:49.000","July 24th 2017, 14:01:37.000","220.21","0.21","80.061","161.498","18.364","37.1"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:00:49.000","July 24th 2017, 14:01:37.000","162.75","0.024","80.244","161.289","20.728","27.4"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:37:19.000","July 24th 2017, 14:38:04.000","211.12","0.122","80.18","160.992","16.975","37.6"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:37:19.000","July 24th 2017, 14:38:04.000","201.86","0.006","80.213","161.191","18.481","35.9"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:37:19.000","July 24th 2017, 14:38:04.000","143.36",0,"80.11","161.117","20.647","25.5"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:34:51.000","July 24th 2017, 14:35:41.000","235.85","0.407","80.165","160.044","17.196","37.4"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:34:51.000","July 24th 2017, 14:35:41.000","192.7","0.274","80.221","160.67","16.76","30.6"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:34:51.000","July 24th 2017, 14:35:41.000","189.93","0.547","80.048","178.376","18.356","30.1"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:34:51.000","July 24th 2017, 14:35:41.000","101.88",0,"80.276","161.409","19.18","16.2"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:05:57.000","July 24th 2017, 14:06:44.000","194.97","0.147","80.122","160.444","19.264","33.3"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:05:57.000","July 24th 2017, 14:06:44.000","191.21",0,"80.189","162.156","19.786","32.6"
"dtn07.nersc.gov","vortex.sciclone.wm.edu","July 24th 2017, 14:05:57.000","July 24th 2017, 14:06:44.000","169.37",0,"80.324","160.4","19.984","28.9"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 19:06:20.000","December 7th 2017, 19:06:51.000","131.33","2.606","75.341","129.322","1.962","34.1"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 19:06:20.000","December 7th 2017, 19:06:51.000","122.78","2.656","75.317","151.145","3.989","31.9"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 19:06:20.000","December 7th 2017, 19:06:51.000","115.21","2.52","75.32","151.152","3.339","29.9"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 18:33:11.000","December 7th 2017, 18:35:14.000","287.51","1.384","75.429","213.73","3.288","18.8"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 18:33:11.000","December 7th 2017, 18:35:14.000","198.94","2.531","75.423","181.699","2.494",13
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 18:33:11.000","December 7th 2017, 18:35:14.000","184.82","2.303","75.382","127.472","2.398","12.1"
"dtn07.nersc.gov","transfer-grace.hpc.yale.edu","December 7th 2017, 18:33:11.000","December 7th 2017, 18:35:14.000","174.23","2.206","75.374","167.199","3.218","11.4"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","July 24th 2017, 07:24:54.000","July 24th 2017, 07:26:02.000","5,937.06","0.102","68.533","105.659","2.414","703.5"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","July 24th 2017, 07:24:54.000","July 24th 2017, 07:26:02.000","5,578.45","0.165","68.534","94.436","1.482","660.8"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 30th 2017, 08:02:23.000","October 30th 2017, 08:07:31.000","19,361.01","0.09","68.512","644.898","11.454","503.2"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 30th 2017, 08:02:23.000","October 30th 2017, 08:07:31.000","18,824.18","0.078","68.519","139.43","7.611","489.3"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 30th 2017, 08:02:23.000","October 30th 2017, 08:07:31.000","18,052.4","0.066","68.51","113.15","7.279","469.2"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 30th 2017, 08:02:23.000","October 30th 2017, 08:07:31.000","12,855.6","0.084","68.51","781.782","9.898",334
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 26th 2017, 05:53:08.000","October 26th 2017, 07:04:53.000","156,567.563","0.017","68.518","141.952","6.399",291
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 26th 2017, 05:53:08.000","October 26th 2017, 07:04:53.000","148,281.547","0.015","68.522","141.529","6.163","275.6"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 26th 2017, 05:53:08.000","October 26th 2017, 07:04:53.000","145,543.344","0.012","68.522","141.92","6.205","270.5"
"dtn07.nersc.gov","tigress-dtn.Princeton.EDU","October 26th 2017, 05:53:08.000","October 26th 2017, 07:04:53.000","143,028.016","0.012","68.538","138.135","5.883","265.8"
"dtn07.nersc.gov","stargrid01.rcf.bnl.gov","July 11th 2017, 18:31:54.000","July 11th 2017, 18:32:17.000","5,111.49",0,"70.686","71.383","0.147","1,798.2"
"dtn07.nersc.gov","stargrid01.rcf.bnl.gov","July 11th 2017, 20:30:31.000","July 11th 2017, 20:30:54.000","5,100.98",0,"70.687","71.387","0.149","1,797.7"
"dtn07.nersc.gov","stargrid01.rcf.bnl.gov","July 11th 2017, 18:34:32.000","July 11th 2017, 18:34:55.000","5,101.34",0,"70.706","71.385","0.182","1,797"
"dtn07.nersc.gov","stargrid01.rcf.bnl.gov","July 11th 2017, 14:34:29.000","July 11th 2017, 14:34:52.000","5,114.44",0,"70.717","71.436","0.188","1,796.9"
"dtn07.nersc.gov","stargrid01.rcf.bnl.gov","July 11th 2017, 17:33:29.000","July 11th 2017, 17:33:52.000","5,103.27",0,"70.73","71.727","0.21","1,796.9"
"dtn07.nersc.gov","sherlock-dtn01.stanford.edu","July 24th 2017, 23:45:23.000","July 25th 2017, 00:22:43.000","33,263.531","0.437","2.142","49.48","5.11","118.8"
"dtn07.nersc.gov","sherlock-dtn01.stanford.edu","July 24th 2017, 23:45:23.000","July 25th 2017, 00:22:43.000","33,073.75","0.47","2.14","47.379","5.727","118.1"
"dtn07.nersc.gov","sherlock-dtn01.stanford.edu","July 24th 2017, 23:45:23.000","July 25th 2017, 00:22:43.000","33,039.711","0.453","2.144","50.342","5.729",118
"dtn07.nersc.gov","sherlock-dtn01.stanford.edu","July 24th 2017, 23:45:23.000","July 25th 2017, 00:22:43.000","32,970.02","0.464","2.116","47.202","6.116","117.8"
"dtn07.nersc.gov","sherlock-dtn01.stanford.edu","July 24th 2017, 23:45:23.000","July 25th 2017, 00:22:43.000","32,952.941","0.441","2.151","45.727","5.699","117.7"
"dtn07.nersc.gov","scigw12.jlab.org","December 7th 2017, 19:21:21.000","December 7th 2017, 19:42:01.000","22,301.211","0.002","75.298","151.196","1.788","143.9"
"dtn07.nersc.gov","scigw12.jlab.org","December 7th 2017, 19:21:21.000","December 7th 2017, 19:42:01.000","21,718.199","0.002","75.296","151.554","1.776","140.2"
"dtn07.nersc.gov","scigw12.jlab.org","December 7th 2017, 19:21:21.000","December 7th 2017, 19:42:01.000","21,600.76","0.003","75.298","152.104","1.862","139.4"
"dtn07.nersc.gov","scigw12.jlab.org","December 7th 2017, 19:21:21.000","December 7th 2017, 19:42:01.000","21,353.289","0.003","75.297","151.979","1.825","137.8"
"dtn07.nersc.gov","scigw10.jlab.org","July 25th 2017, 08:28:05.000","July 25th 2017, 08:50:57.000","45,403.531",0,"76.461","90.038","2.467","264.7"
"dtn07.nersc.gov","scigw10.jlab.org","July 25th 2017, 08:28:05.000","July 25th 2017, 08:50:57.000","45,361.578",0,"76.488","116.938","2.468","264.5"
"dtn07.nersc.gov","scigw10.jlab.org","July 25th 2017, 08:28:05.000","July 25th 2017, 08:50:57.000","45,336.422",0,"76.492","117.587","2.45","264.4"
"dtn07.nersc.gov","scigw10.jlab.org","July 25th 2017, 08:28:05.000","July 25th 2017, 08:50:57.000","45,307.059",0,"76.49","115.956","2.465","264.2"
"dtn07.nersc.gov","scigw10.jlab.org","July 25th 2017, 08:28:05.000","July 25th 2017, 08:50:57.000","45,260.922",0,"76.468","116.278","2.44","263.9"
"dtn07.nersc.gov","rain.es.ntnu.edu.tw","December 19th 2017, 09:37:48.000","December 19th 2017, 09:43:50.000","2,015.6","0.001","182.723","212.989","2.43","44.5"
"dtn07.nersc.gov","rain.es.ntnu.edu.tw","December 19th 2017, 10:52:59.000","December 19th 2017, 10:59:03.000","2,015.6",0,"182.295","256.441","2.6","44.3"
"dtn07.nersc.gov","rain.es.ntnu.edu.tw","December 19th 2017, 09:15:06.000","December 19th 2017, 09:21:11.000","2,015.6","0.001","182.693","237.086","2.058","44.2"
"dtn07.nersc.gov","rain.es.ntnu.edu.tw","December 19th 2017, 10:05:14.000","December 19th 2017, 10:11:19.000","2,015.6",0,"182.474","248.523","2.867","44.2"
